vin,year,make,model,trim,price,miles,cpo,dealer,city,state,zip,listing_url
5UX43DP06R9X47664,2024,BMW,X3,sDrive30i,43793,6867,True,Pacific BMW,Glendale,CA,,https://www.autolist.com/bmw-x3#vin=5UX43DP06R9X47664
5UX53GP04S9080959,2025,BMW,X3,30 xDrive,44101,10746,True,BMW of Chula Vista,Chula Vista,CA,,https://www.autolist.com/bmw-x3#vin=5UX53GP04S9080959
5UX53GP07T9204725,2026,BMW,X3,30 xDrive,43885,7618,True,BMW of San Diego,San Diego,CA,,https://www.autolist.com/bmw-x3#vin=5UX53GP07T9204725
5UX43DP04P9S09509,2023,BMW,X3,sDrive30i,32893,29591,True,Pacific BMW,Glendale,CA,,https://www.autolist.com/bmw-x3#vin=5UX43DP04P9S09509
5UX43DP07R9V46257,2024,BMW,X3,sDrive30i,33651,32876,True,BMW of Downtown Los Angeles,Los Angeles,CA,,https://www.autolist.com/bmw-x3#vin=5UX43DP07R9V46257
5UXTY3C03M9F07898,2021,BMW,X3,sDrive30i,21883,66934,True,Chevrolet of Montebello,Montebello,CA,,https://www.autolist.com/bmw-x3#vin=5UXTY3C03M9F07898
5UX43DP05R9W52139,2024,BMW,X3,sDrive30i,37995,11934,True,bmw of buena park,Buena Park,CA,90621,https://bmwbuenapark.com/certified/BMW/2024-BMW-X3-1b8a88d3ac181e3327553039528728f2.htm
5UX53GP01S9030892,2025,BMW,X3,30 xDrive,42377,12834,True,bmw of buena park,Buena Park,CA,90621,https://bmwbuenapark.com/certified/BMW/2025-BMW-X3-5f39cb74ac1803a84bdbf46db11b7a87.htm
5UX53GP02S9030982,2025,BMW,X3,30 xDrive,48510,1041,True,bmw of buena park,Buena Park,CA,90621,https://bmwbuenapark.com/certified/BMW/2025-BMW-X3-645f6f1cac185191c275d2ad0529cfca.htm
5UX53GP02S9032599,2025,BMW,X3,30 xDrive,46977,664,True,bmw of buena park,Buena Park,CA,90621,https://bmwbuenapark.com/certified/BMW/2025-BMW-X3-5f39c785ac18288f6149a1ab549b7b6b.htm
5UX53GP02S9118320,2025,BMW,X3,30 xDrive,52165,12282,True,bmw of buena park,Buena Park,CA,90621,https://bmwbuenapark.com/certified/BMW/2025-BMW-X3-1b8a1032ac1840bc3dde7e43f5ef2d12.htm
5UX53GP05T9160062,2026,BMW,X3,30 xDrive,49977,523,True,bmw of buena park,Buena Park,CA,90621,https://bmwbuenapark.com/certified/BMW/2026-BMW-X3-24fc42b7ac1827bd9540ac674f888dae.htm
5UX53GP05T9224973,2026,BMW,X3,30 xDrive,49977,1571,True,bmw of buena park,Buena Park,CA,90621,https://bmwbuenapark.com/certified/BMW/2026-BMW-X3-7c6a1796ac1840b03fb0b7a386c8609a.htm
5UX53GP07T9149273,2026,BMW,X3,30 xDrive,45445,10617,True,bmw of buena park,Buena Park,CA,90621,https://bmwbuenapark.com/certified/BMW/2026-BMW-X3-6c737a44ac1851c1ca6e0f385978bc13.htm
5UX53GP09S9039677,2025,BMW,X3,30 xDrive,51325,12125,True,bmw of buena park,Buena Park,CA,90621,https://bmwbuenapark.com/certified/BMW/2025-BMW-X3-a64a986aac182aca90f6fc651896a568.htm
5UX53GP0XS9138685,2025,BMW,X3,30 xDrive,53745,12019,True,bmw of buena park,Buena Park,CA,90621,https://bmwbuenapark.com/certified/BMW/2025-BMW-X3-f77e3036ac180771dd7429cba4a6ab6b.htm
5UX53GP0XT9248525,2026,BMW,X3,30 xDrive,47845,7608,True,bmw of buena park,Buena Park,CA,90621,https://bmwbuenapark.com/certified/BMW/2026-BMW-X3-c48a912fac183d310e10b67dd5fcb66e.htm
5UX83DP05R9U95245,2024,BMW,X3,M40i,57380,11273,True,bmw of buena park,Buena Park,CA,90621,https://bmwbuenapark.com/certified/BMW/2024-BMW-X3-1680a9edac181da0dd1bebc35a1cc9b3.htm
5UX43DP00R9U47294,2024,BMW,X3,sDrive30i,34500,21594,True,bmw of carlsbad,Carlsbad,CA,92008,https://bmwencinitas.com/certified/BMW/2024-BMW-X3-e80b6e39ac180936a0a72ed8f4efe1f0.htm
5UX43DP01R9T97747,2024,BMW,X3,sDrive30i,35999,22052,True,bmw of carlsbad,Carlsbad,CA,92008,https://bmwencinitas.com/certified/BMW/2024-BMW-X3-3f7ed767ac184f13ca20cd18e5bd7845.htm
5UX43DP05P9T30209,2023,BMW,X3,sDrive30i,31999,39929,True,bmw of carlsbad,Carlsbad,CA,92008,https://bmwencinitas.com/certified/BMW/2023-BMW-X3-60da1d48ac182113dd76063d08a8bbf1.htm
5UX53DP09R9U01094,2024,BMW,X3,xDrive30i,34077,38903,True,bmw of carlsbad,Carlsbad,CA,92008,https://bmwencinitas.com/certified/BMW/2024-BMW-X3-5972bbe4ac185c308f227df7baa8aa0e.htm
